STUDYID,DOMAIN,TSSEQ,TSGRPID,TSPARMCD,TSPARM,TSVAL,TSVALNF,TSVALCD,TSVCDREF,TSVCDVER
MS200095-0022-VISION,TS,1,,PDSTIND,Pediatric Study Indicator,NA,,C49487,,2023-12-15
MS200095-0022-VISION,TS,1,,PIPIND,Pediatric Investigation Plan Indicator,N,X,C49487,,2023-12-15
MS200095-0022-VISION,TS,1,,RDIND,Rare Disease Indicator,N,,C49487,,2023-12-15
MS200095-0022-VISION,TS,1,,REGID,Registry Identifier,NCT02864992,,,,
MS200095-0022-VISION,TS,1,,SDTIGVER,SDTM IG Version,NA,X,,,
MS200095-0022-VISION,TS,1,,SDTMVER,SDTM Version,2.0,,,,
MS200095-0022-VISION,TS,1,,SENDTC,Study End Date,NA,,,,
MS200095-0022-VISION,TS,1,,SPONSOR,Clinical Study Sponsor,NA,X,,,
MS200095-0022-VISION,TS,1,,SSTDTC,Study Start Date,2024-01-15,,,,
MS200095-0022-VISION,TS,1,,STYPE,Study Type,INTERVENTIONAL,X,C98388,,2023-12-15
MS200095-0022-VISION,TS,1,,TDIGRP,Diagnosis Group,Oncology,X,,,2023-09-01
MS200095-0022-VISION,TS,1,,THERAREA,Therapeutic Area,Oncology,,,,
MS200095-0022-VISION,TS,1,,TINDTP,Trial Intent Type,NA,X,C49656,,2023-12-15
MS200095-0022-VISION,TS,1,,TITLE,Trial Title,NA,,,,
MS200095-0022-VISION,TS,1,,TPHASE,Trial Phase Classification,NA,X,C15601,,2023-12-15
MS200095-0022-VISION,TS,1,,TRT,Investigational Therapy or Treatment,NA,,,,2023-12-15
MS200095-0022-VISION,TS,1,,TTYPE,Trial Type,NA,X,C49666,,2023-12-15
MS200095-0022-VISION,TS,1,,ADAPT,Adaptive Design,NA,,INCONSISTENT VALUE,,2023-12-15
MS200095-0022-VISION,TS,1,,EXTTIND,Extension Trial Indicator,N,X,INCONSISTENT VALUE,,2023-12-15
MS200095-0022-VISION,TS,1,,HLTSUBJI,Healthy Subject Indicator,N,X,INCONSISTENT VALUE,,2023-12-15
MS200095-0022-VISION,TS,1,,INTMODEL,Intervention Model,NA,X,INCONSISTENT VALUE,,2023-12-15
MS200095-0022-VISION,TS,1,,INTTYPE,Intervention Type,NA,,INCONSISTENT VALUE,,2023-12-15
MS200095-0022-VISION,TS,1,,ONGOSIND,Ongoing Study Indicator,N,,INCONSISTENT VALUE,,2023-12-15
MS200095-0022-VISION,TS,1,,PDPSTIND,Pediatric Postmarket Study Indicator,NA,X,INCONSISTENT VALUE,,2023-12-15
MS200095-0022-VISION,TS,1,,PDSTIND,Pediatric Study Indicator,NA,X,INCONSISTENT VALUE,,2023-12-15
MS200095-0022-VISION,TS,1,,PIPIND,Pediatric Investigation Plan Indicator,N,X,INCONSISTENT VALUE,,2023-12-15
MS200095-0022-VISION,TS,1,,RDIND,Rare Disease Indicator,NA,X,INCONSISTENT VALUE,,2023-12-15
MS200095-0022-VISION,TS,1,,STYPE,Study Type,NA,X,INCONSISTENT VALUE,,2023-12-15
MS200095-0022-VISION,TS,1,,TINDTP,Trial Intent Type,NA,X,INCONSISTENT VALUE,,2023-12-15
MS200095-0022-VISION,TS,1,,TPHASE,Trial Phase Classification,NA,X,INCONSISTENT VALUE,,2023-12-15
MS200095-0022-VISION,TS,1,,TTYPE,Trial Type,EFFICACY,,INCONSISTENT VALUE,,2023-12-15
MS200095-0022-VISION,TS,1,,ACTSUB,Actual Number of Subjects,300,,,,
MS200095-0022-VISION,TS,1,,ADAPT,Adaptive Design,NA,X,C49487,,2023-12-15
MS200095-0022-VISION,TS,1,,DCUTDESC,Data Cutoff Description,Final database lock,X,,,
MS200095-0022-VISION,TS,1,,DCUTDTC,Data Cutoff Date,NA,,,,
MS200095-0022-VISION,TS,1,,EXTTIND,Extension Trial Indicator,N,,C49487,,2023-12-15
MS200095-0022-VISION,TS,1,,FCNTRY,Planned Country of Investigational Sites,NA,X,,,Ed3 Up11
MS200095-0022-VISION,TS,1,,HLTSUBJI,Healthy Subject Indicator,NA,X,C49487,,2023-12-15
MS200095-0022-VISION,TS,1,,INDIC,Trial Disease/Condition Indication,NA,,,,2023-09-01
MS200095-0022-VISION,TS,1,,INTMODEL,Intervention Model,NA,,C82640,,2023-12-15
MS200095-0022-VISION,TS,1,,INTTYPE,Intervention Type,NA,X,C1909,,2023-12-15
MS200095-0022-VISION,TS,1,,NARMS,Planned Number of Arms,3,,,,
MS200095-0022-VISION,TS,1,,NCOHORT,Number of Groups/Cohorts,3,,,,
MS200095-0022-VISION,TS,1,,OBJPRIM,Trial Primary Objective,To evaluate the efficacy and safety of the investigational treatment,,,,
MS200095-0022-VISION,TS,1,,OBJSEC,Trial Secondary Objective,NA,,,,
MS200095-0022-VISION,TS,1,,ONGOSIND,Ongoing Study Indicator,NA,X,C49487,,2023-12-15
MS200095-0022-VISION,TS,1,,OUTMSPRI,Primary Outcome Measure,NA,,,,
MS200095-0022-VISION,TS,1,,PCLAS,Pharmacologic Class,NA,,,,2023-09-01
MS200095-0022-VISION,TS,1,,PDPSTIND,Pediatric Postmarket Study Indicator,NA,X,C49487,,2023-12-15
MS200095-0022-VISION,TS,1,,PDSTIND,Pediatric Study Indicator,N,X,C49487,,2023-12-15
MS200095-0022-VISION,TS,1,,PIPIND,Pediatric Investigation Plan Indicator,NA,,C49487,,2023-12-15
MS200095-0022-VISION,TS,1,,RDIND,Rare Disease Indicator,N,,C49487,,2023-12-15
MS200095-0022-VISION,TS,1,,REGID,Registry Identifier,NCT02864992,X,,,
MS200095-0022-VISION,TS,1,,SDTIGVER,SDTM IG Version,NA,X,,,
MS200095-0022-VISION,TS,1,,SDTMVER,SDTM Version,NA,X,,,
MS200095-0022-VISION,TS,1,,SENDTC,Study End Date,NA,,,,
MS200095-0022-VISION,TS,1,,SPONSOR,Clinical Study Sponsor,NA,,,,
MS200095-0022-VISION,TS,1,,SSTDTC,Study Start Date,2024-01-15,X,,,
MS200095-0022-VISION,TS,1,,STYPE,Study Type,NA,X,C98388,,2023-12-15
MS200095-0022-VISION,TS,1,,TDIGRP,Diagnosis Group,NA,,,,2023-09-01
MS200095-0022-VISION,TS,1,,THERAREA,Therapeutic Area,Oncology,,,,
MS200095-0022-VISION,TS,1,,TINDTP,Trial Intent Type,TREATMENT,,C49656,,2023-12-15
MS200095-0022-VISION,TS,1,,TITLE,Trial Title,"VISION: A Phase II, Single-Arm, Multicenter, Open-Label Trial to Investigate the Clinical Activity and Safety of Tepotinib in Subjects with Advanced (Locally Advanced or Metastatic) Non-Small Cell Lung Cancer Harboring MET Alterations",X,,,
MS200095-0022-VISION,TS,1,,TPHASE,Trial Phase Classification,NA,X,C15601,,2023-12-15
MS200095-0022-VISION,TS,1,,TRT,Investigational Therapy or Treatment,NA,,,,2023-12-15
MS200095-0022-VISION,TS,1,,TTYPE,Trial Type,NA,,C49666,,2023-12-15
MS200095-0022-VISION,TS,1,,ADAPT,Adaptive Design,N,,INCONSISTENT VALUE,,2023-12-15
MS200095-0022-VISION,TS,1,,EXTTIND,Extension Trial Indicator,NA,X,INCONSISTENT VALUE,,2023-12-15
MS200095-0022-VISION,TS,1,,HLTSUBJI,Healthy Subject Indicator,N,X,INCONSISTENT VALUE,,2023-12-15
MS200095-0022-VISION,TS,1,,INTMODEL,Intervention Model,SINGLE GROUP,X,INCONSISTENT VALUE,,2023-12-15
MS200095-0022-VISION,TS,1,,INTTYPE,Intervention Type,DRUG,X,INCONSISTENT VALUE,,2023-12-15
MS200095-0022-VISION,TS,1,,ONGOSIND,Ongoing Study Indicator,N,,INCONSISTENT VALUE,,2023-12-15
MS200095-0022-VISION,TS,1,,PDPSTIND,Pediatric Postmarket Study Indicator,N,,INCONSISTENT VALUE,,2023-12-15
MS200095-0022-VISION,TS,1,,PDSTIND,Pediatric Study Indicator,NA,X,INCONSISTENT VALUE,,2023-12-15
MS200095-0022-VISION,TS,1,,PIPIND,Pediatric Investigation Plan Indicator,N,X,INCONSISTENT VALUE,,2023-12-15
MS200095-0022-VISION,TS,1,,RDIND,Rare Disease Indicator,N,X,INCONSISTENT VALUE,,2023-12-15
MS200095-0022-VISION,TS,1,,STYPE,Study Type,INTERVENTIONAL,X,INCONSISTENT VALUE,,2023-12-15
MS200095-0022-VISION,TS,1,,TINDTP,Trial Intent Type,TREATMENT,,INCONSISTENT VALUE,,2023-12-15
MS200095-0022-VISION,TS,1,,TPHASE,Trial Phase Classification,PHASE II TRIAL,,INCONSISTENT VALUE,,2023-12-15
MS200095-0022-VISION,TS,1,,TTYPE,Trial Type,EFFICACY,X,INCONSISTENT VALUE,,2023-12-15
